word,color,response,reaction_time,is_correct
YELLOW,blue,blue,1090.0,True
RED,green,green,896.0,True
YELLOW,yellow,yellow,994.0,True
GREEN,red,red,1215.0,True
RED,yellow,green,1031.0,False
BLUE,green,yellow,444.0,False
YELLOW,green,green,990.0,True
BLUE,blue,blue,1872.0,True
GREEN,green,green,1311.0,True
RED,blue,blue,1380.0,True
RED,yellow,yellow,1154.0,True
RED,green,green,994.0,True
RED,yellow,yellow,1471.0,True
YELLOW,red,red,970.0,True
BLUE,green,green,1147.0,True
RED,yellow,yellow,945.0,True
YELLOW,blue,blue,946.0,True
BLUE,green,green,1135.0,True
BLUE,yellow,yellow,1320.0,True
BLUE,green,green,1156.0,True
