word,color,response,reaction_time,is_correct
YELLOW,blue,blue,1138.0,True
RED,yellow,yellow,7330.0,True
GREEN,blue,blue,1139.0,True
YELLOW,blue,blue,1123.0,True
RED,yellow,yellow,1730.0,True
BLUE,green,green,735.0,True
GREEN,green,green,2272.0,True
GREEN,red,red,1363.0,True
YELLOW,yellow,yellow,1083.0,True
BLUE,yellow,yellow,2227.0,True
RED,yellow,yellow,712.0,True
GREEN,blue,blue,1883.0,True
YELLOW,blue,blue,800.0,True
BLUE,blue,blue,638.0,True
YELLOW,blue,blue,728.0,True
YELLOW,blue,blue,695.0,True
BLUE,red,red,1261.0,True
YELLOW,red,red,1827.0,True
RED,green,green,1220.0,True
GREEN,yellow,yellow,1172.0,True
RED,red,red,861.0,True
BLUE,green,green,1068.0,True
BLUE,blue,blue,1155.0,True
GREEN,yellow,yellow,1010.0,True
BLUE,red,red,1327.0,True
BLUE,green,green,985.0,True
BLUE,green,green,793.0,True
RED,yellow,yellow,1603.0,True
GREEN,red,red,1840.0,True
BLUE,blue,blue,947.0,True
BLUE,yellow,yellow,1261.0,True
RED,red,red,937.0,True
GREEN,blue,blue,1310.0,True
RED,blue,blue,904.0,True
GREEN,green,green,849.0,True
GREEN,red,red,1163.0,True
RED,yellow,yellow,987.0,True
RED,red,red,873.0,True
YELLOW,green,green,913.0,True
BLUE,yellow,yellow,1397.0,True
YELLOW,blue,blue,1125.0,True
YELLOW,yellow,yellow,1308.0,True
GREEN,red,red,1342.0,True
YELLOW,red,red,1027.0,True
BLUE,red,red,558.0,True
RED,red,red,477.0,True
GREEN,red,red,468.0,True
GREEN,yellow,yellow,1609.0,True
RED,green,green,1480.0,True
RED,yellow,yellow,1317.0,True
GREEN,blue,blue,1030.0,True
GREEN,red,red,965.0,True
YELLOW,red,red,728.0,True
YELLOW,green,green,1383.0,True
YELLOW,red,red,1576.0,True
YELLOW,yellow,yellow,1294.0,True
GREEN,green,green,1277.0,True
BLUE,red,red,1698.0,True
RED,blue,blue,1343.0,True
GREEN,red,yellow,1884.0,False
YELLOW,red,red,889.0,True
BLUE,green,green,946.0,True
BLUE,blue,blue,1244.0,True
YELLOW,green,green,897.0,True
BLUE,green,green,1111.0,True
GREEN,green,green,635.0,True
GREEN,yellow,yellow,881.0,True
BLUE,red,red,1034.0,True
RED,red,red,823.0,True
YELLOW,green,green,1691.0,True
BLUE,red,red,969.0,True
BLUE,red,red,606.0,True
GREEN,yellow,yellow,1203.0,True
YELLOW,yellow,yellow,776.0,True
GREEN,green,green,1043.0,True
YELLOW,red,red,1029.0,True
BLUE,red,red,555.0,True
RED,blue,blue,1358.0,True
GREEN,blue,blue,647.0,True
BLUE,red,red,904.0,True
BLUE,red,red,17654.0,True
RED,red,blue,2597.0,False
RED,green,green,5364.0,True
YELLOW,green,yellow,2859.0,False
BLUE,yellow,blue,1767.0,False
BLUE,yellow,green,2040.0,False
YELLOW,red,yellow,1667.0,False
RED,yellow,red,1441.0,False
YELLOW,blue,yellow,1758.0,False
BLUE,red,blue,1639.0,False
YELLOW,blue,yellow,1707.0,False
GREEN,yellow,green,1909.0,False
GREEN,yellow,green,2757.0,False
YELLOW,red,yellow,1443.0,False
GREEN,red,green,2009.0,False
GREEN,yellow,green,2357.0,False
RED,green,red,1718.0,False
BLUE,green,blue,1732.0,False
RED,red,red,1333.0,True
RED,blue,red,1632.0,False
BLUE,red,blue,3522.0,False
BLUE,red,red,7295.0,True
GREEN,yellow,green,5302.0,False
YELLOW,red,yellow,1699.0,False
BLUE,green,blue,1897.0,False
YELLOW,yellow,yellow,3134.0,True
GREEN,blue,blue,2233.0,True
RED,blue,blue,3616.0,True
RED,yellow,yellow,2398.0,True
YELLOW,red,red,2816.0,True
GREEN,yellow,yellow,2500.0,True
YELLOW,yellow,yellow,3652.0,True
RED,yellow,yellow,2032.0,True
GREEN,red,red,2166.0,True
BLUE,yellow,yellow,3481.0,True
BLUE,green,green,2433.0,True
RED,blue,blue,1917.0,True
GREEN,green,green,1432.0,True
RED,blue,blue,2467.0,True
GREEN,blue,blue,2298.0,True
GREEN,green,green,2656.0,True
GREEN,yellow,yellow,1866.0,True
YELLOW,red,red,1585.0,True
BLUE,blue,blue,1413.0,True
BLUE,green,green,2217.0,True
GREEN,yellow,yellow,3532.0,True
GREEN,blue,blue,1765.0,True
GREEN,green,green,1982.0,True
YELLOW,green,green,2266.0,True
GREEN,blue,blue,1766.0,True
GREEN,red,red,1616.0,True
YELLOW,green,green,6000.0,True
GREEN,red,red,1681.0,True
BLUE,yellow,yellow,2532.0,True
GREEN,red,red,2887.0,True
RED,red,red,1545.0,True
GREEN,red,red,2330.0,True
RED,blue,blue,1501.0,True
GREEN,green,green,1847.0,True
YELLOW,blue,blue,2985.0,True
BLUE,yellow,yellow,6558.0,True
RED,blue,blue,2516.0,True
YELLOW,blue,blue,1232.0,True
YELLOW,green,green,1010.0,True
YELLOW,yellow,yellow,1098.0,True
YELLOW,red,red,971.0,True
BLUE,green,green,1220.0,True
YELLOW,green,green,953.0,True
YELLOW,blue,blue,961.0,True
BLUE,yellow,yellow,1018.0,True
BLUE,green,green,1189.0,True
YELLOW,yellow,yellow,1190.0,True
YELLOW,yellow,yellow,733.0,True
BLUE,blue,blue,1033.0,True
BLUE,red,red,841.0,True
GREEN,green,green,929.0,True
YELLOW,green,green,1179.0,True
RED,green,green,2037.0,True
YELLOW,yellow,yellow,1075.0,True
RED,red,red,1293.0,True
GREEN,green,green,1479.0,True
BLUE,red,red,1997.0,True
